k,n,treated_share,grade_ate_lower,grade_ate_upper,grade_ate_midpoint,grade_ate_width,grade_obs_diff,pass_ate_lower,pass_ate_upper,pass_ate_midpoint,pass_ate_width,pass_obs_diff,joint_midpoint_score
13,411,0.5644768856447688,-2.8380048661800483,3.410170316301704,0.28608272506082777,6.248175182481752,0.4804339627652521,-0.434645464025026,0.6067170663885992,0.08603580118178661,1.0413625304136254,0.1131476591380185,0.06685812767929562
14,411,0.49878345498783455,-2.903892944038929,3.344282238442823,0.22019464720194692,6.248175182481752,0.43302270381837005,-0.4656673618352451,0.5756951685783803,0.05501390337156761,1.0413625304136254,0.10054830704211515,0.045856505619279384
15,411,0.4209245742092457,-3.0145498783454983,3.2336253041362535,0.10953771289537761,6.248175182481752,0.3256406769021538,-0.5093702931294172,0.5319922372842081,0.011310972077395454,1.0413625304136254,0.07390813595335866,0.014783628779979194
16,411,0.36253041362530414,-3.066618004866179,3.1815571776155718,0.057469586374696346,6.24817518248175,0.32367346938775565,-0.5349061522419187,0.5064563781717066,-0.014224887035106049,1.0413625304136254,0.0730881288277535,-0.0023233113196616624
17,411,0.30656934306569344,-3.1293917274939167,3.1187834549878346,-0.005304136253041047,6.248175182481751,0.30102937692489995,-0.5642886108214574,0.47707391959216777,-0.04360734561464483,1.0413625304136251,0.06276377466409444,-0.0222456841617425
18,411,0.2384428223844282,-3.188710462287105,3.0594647201946477,-0.06462287104622866,6.248175182481752,0.3288906508549374,-0.5938332754026185,0.4475292550110069,-0.07315201019580583,1.0413625304136254,0.06741235586898853,-0.04196124435175531
19,411,0.19708029197080293,-3.240875912408759,3.0072992700729926,-0.11678832116788329,6.248175182481752,0.30976689149213144,-0.6149200556134864,0.42644247480013897,-0.09423879040667371,1.0413625304136254,0.06314914361595214,-0.056851755300660466
20,411,0.18248175182481752,-3.2562530413625304,2.991922141119222,-0.13216545012165426,6.248175182481752,0.31363845350052344,-0.6219876028270189,0.41937492758660644,-0.10130633762020624,1.0413625304136254,0.06295760561277797,-0.061666956320240975
21,411,0.170316301703163,-3.2768369829683697,2.9713381995133825,-0.15274939172749358,6.248175182481752,0.2902680776014108,-0.6292868729000116,0.41207565751361364,-0.10860560769319899,1.0413625304136254,0.05789944990341811,-0.06703191982389063
22,411,0.145985401459854,-3.3112895377128946,2.936885644768857,-0.1872019464720187,6.248175182481752,0.2637704590818375,-0.6423560421735603,0.3990064882400649,-0.12167477696674772,1.0413625304136254,0.05243441688052464,-0.07643755068937542
23,411,0.13138686131386862,-3.3362530413625304,2.9119221411192218,-0.21216545012165433,6.248175182481752,0.2265827886710241,-0.6540580465762947,0.3873044838373304,-0.13337678136948217,1.0413625304136251,0.031633338520593246,-0.08436884486154561
24,411,0.11678832116788321,-3.3449635036496344,2.903211678832118,-0.22087591240875826,6.248175182481752,0.26192919075144516,-0.6617049009384776,0.3796576294751478,-0.14102363573166488,1.0413625304136254,0.02644049912836044,-0.08891814389989562
25,411,0.09732360097323602,-3.3597566909975662,2.888418491484186,-0.23566909975669015,6.248175182481752,0.30692937853107427,-0.6706262310276908,0.37073629938593455,-0.14994496582087813,1.0413625304136254,0.02495964487489921,-0.0946115745568299
26,411,0.08759124087591241,-3.3713868613138684,2.8767883211678824,-0.24729927007299302,6.24817518248175,0.31047020484171206,-0.673406905341212,0.3679556250724134,-0.15272564013439927,1.0413625304136254,0.034652759303597125,-0.09697109257328239
27,411,0.08029197080291971,-3.387542579075426,2.8606326034063256,-0.26345498783455024,6.248175182481752,0.263654830857047,-0.6786206696790638,0.3627418607345615,-0.15793940447225113,1.0413625304136254,0.022093611221035037,-0.10092428455567141
28,411,0.072992700729927,-3.38720194647202,2.860973236009731,-0.26311435523114457,6.24817518248175,0.3311501831501831,-0.6786206696790639,0.3627418607345614,-0.15793940447225124,1.0413625304136254,0.04596524507238808,-0.10089589850538767
29,411,0.06569343065693431,-3.3959610705596104,2.8522141119221422,-0.27187347931873407,6.248175182481752,0.33854273892421016,-0.6820965125709649,0.3592660178426603,-0.1614152473641523,1.0413625304136254,0.04634687561572226,-0.10336374695863733
30,411,0.05596107055961071,-3.4137712895377113,2.8344038929440396,-0.2896836982968358,6.24817518248175,0.29408883159498433,-0.6876578611980071,0.35370466921561816,-0.16697659599119447,1.0413625304136254,0.03835515338210771,-0.10762860618700022
31,411,0.046228710462287104,-3.419075425790755,2.8290997566909972,-0.29498783454987887,6.248175182481752,0.3757024561403508,-0.6899750897926078,0.35138744062101746,-0.16929382458579517,1.0413625304136254,0.06427852965747716,-0.10922923183872082
32,411,0.0413625304136253,-3.429002433090025,2.8191727493917274,-0.30491484184914874,6.248175182481752,0.3388297706350434,-0.6934509326845092,0.34791159772911606,-0.17276966747769656,1.0413625304136254,0.052381881134416663,-0.11179440389294401
